id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
37430,90000000,Adventure,en,10.949076,2011,8,2011/8/17,48795021,113,5.2,612,US
51588,8000000,Comedy,en,6.167646,2011,4,2011/4/29,10130000,104,5.7,139,US
48572,4000000,Horror,en,6.340655,2011,8,2011/8/19,1104682,88,5.9,321,US
70868,24000000,Romance,en,6.562982,2011,9,2011/9/16,30551495,89,5,142,US
65055,28000000,Horror,en,6.062425,2011,9,2011/9/2,10126458,91,4.9,134,US
39538,60000000,Drama,en,8.244359,2011,9,2011/9/8,137551594,106,6.2,1351,US
64639,25000000,Drama,en,8.048422,2011,9,2011/9/16,10324441,110,5.5,147,US
60308,50000000,Drama,en,15.785663,2011,9,2011/9/22,110206216,133,7,1409,US
47760,8000000,Drama,en,6.140556,2011,9,2011/9/16,163265,91,6.3,156,US
24428,220000000,Science Fiction,en,89.887648,2012,4,2012/4/25,1519557910,143,7.4,12000,US
48231,15000000,Drama,en,9.865944,2011,9,2011/9/30,27462041,99,6.2,589,CH
59440,25000000,Action,en,13.121626,2011,9,2011/9/9,23057115,140,7.7,1297,US
10316,12500000,Drama,en,6.82647,2011,9,2011/9/24,75993061,101,6.5,924,US
74725,500000,Horror,en,15.014569,2011,9,2011/9/2,171760,95,6,214,GB
49021,66000000,Action,en,8.046632,2011,9,2011/9/23,57777106,116,6.1,703,AU
40807,8000000,Comedy,en,11.869481,2011,9,2011/9/30,39187783,100,7,1287,US
74643,15000000,Drama,en,11.440948,2011,5,2011/5/15,133432856,100,7.3,1075,BE
64720,5000000,Thriller,en,5.59686,2011,11,2011/11/25,3099314,120,7.1,479,US
39254,110000000,Action,en,19.265552,2011,9,2011/9/28,299268508,127,6.6,2749,IN
68817,24000000,Drama,en,6.162257,2011,10,2011/10/6,63543328,113,6.4,438,US
60935,35000000,Horror,en,10.169411,2011,10,2011/10/12,28128670,103,6,876,US
71859,7000000,Drama,en,5.325574,2011,9,2011/9/28,6038942,112,7.4,687,GB
52451,75000000,Adventure,en,6.303466,2011,8,2011/8/31,132274484,110,5.6,945,US
49530,40000000,Action,en,10.324613,2011,10,2011/10/27,173930596,109,6.7,3512,US
72113,25000000,Comedy,en,8.844835,2011,9,2011/9/16,27603069,80,7,760,ES
50839,3500000,Thriller,en,8.340757,2011,9,2011/9/28,19504039,107,6.7,531,US
72571,5000000,Horror,en,10.996308,2011,10,2011/10/19,205703818,83,5.9,685,US
58233,45000000,Crime,en,10.668658,2011,9,2011/9/15,160078586,101,6,1026,GB
